price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,construction_year
13300000,7420,4,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished,1984
12250000,8960,4,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished,1987
12250000,9960,3,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,2004
12215000,7500,4,2.0,2.0,yes,no,yes,no,yes,3.0,yes,furnished,2007
11410000,7420,4,1.0,2.0,yes,yes,yes,no,yes,2.0,no,furnished,2007
10850000,7500,3,3.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished,1949
10150000,8580,4,3.0,4.0,yes,no,no,no,yes,2.0,yes,semi-furnished,1961
10150000,16200,5,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,1976
9870000,8100,4,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,2010
9800000,5750,3,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished,1952
9800000,13200,3,1.0,2.0,yes,no,yes,no,yes,2.0,yes,furnished,1998
9681000,6000,4,3.0,2.0,yes,yes,yes,yes,no,2.0,no,semi-furnished,2005
9310000,6550,4,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,1979
9240000,3500,4,2.0,2.0,yes,no,no,sim,no,2.0,no,furnished,1986
9240000,7800,3,2.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,1977
9100000,6000,4,1.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,1965
9100000,6600,4,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished,2017
8960000,8500,3,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,2012
8890000,4600,3,2.0,2.0,yes,yes,no,no,yes,2.0,no,furnished,1949
8855000,6420,3,2.0,2.0,yes,no,no,nao,yes,1.0,yes,semi-furnished,1960
8750000,4320,3,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished,2020
8680000,7155,3,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,2009
8645000,8050,3,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished,2019
8645000,4560,3,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,1987
8575000,8800,3,2.0,2.0,yes,no,no,no,yes,2.0,no,furnished,2004
8540000,6540,4,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,1989
8463000,6000,3,2.0,4.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,1969
8400000,8875,3,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,1959
8400000,7950,5,2.0,2.0,yes,no,yes,yes,no,2.0,no,unfurnished,1959
8400000,5500,4,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished,1954
8400000,7475,3,2.0,4.0,yes,no,no,nao,yes,2.0,no,unfurnished,1979
8400000,7000,3,1.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished,1972
8295000,4880,4,2.0,2.0,yes,no,no,no,yes,1.0,yes,furnished,2005
8190000,5960,3,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished,1949
8120000,6840,5,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,1997
8080940,7000,3,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,1972
8043000,7482,3,2.0,3.0,yes,no,no,sim,no,1.0,yes,furnished,1971
7980000,9000,4,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,2014
7962500,6000,3,1.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished,1963
7910000,6000,4,2.0,4.0,yes,no,no,no,yes,1.0,no,semi-furnished,1975
7875000,6550,3,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished,2015
7840000,6360,3,2.0,4.0,yes,no,no,no,yes,0.0,yes,furnished,1995
7700000,6480,3,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,1968
7700000,6000,4,2.0,4.0,yes,no,no,no,no,2.0,no,semi-furnished,1974
7560000,6000,4,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished,1940
7560000,6000,3,2.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,1940
7525000,6000,3,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished,1976
7490000,6600,3,1.0,4.0,yes,no,no,no,yes,3.0,yes,furnished,1993
7455000,4300,3,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,1945
7420000,7440,3,2.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,1978
7420000,7440,3,2.0,4.0,yes,no,no,no,no,1.0,yes,unfurnished,1957
7420000,6325,3,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished,2019
7350000,6000,4,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,1944
7350000,5150,3,2.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished,1982
7350000,6000,3,2.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished,1998
7350000,6000,3,1.0,2.0,yes,no,no,no,yes,1.0,no,unfurnished,1971
7343000,11440,4,1.0,2.0,yes,no,yes,no,no,1.0,yes,semi-furnished,1941
7245000,9000,4,2.0,4.0,yes,yes,no,no,yes,1.0,yes,furnished,2005
7210000,7680,4,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished,1981
7210000,6000,3,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,1997
7140000,6000,3,2.0,2.0,yes,yes,no,no,no,1.0,no,semi-furnished,1975
7070000,8880,2,1.0,1.0,yes,no,no,no,yes,1.0,no,semi-furnished,1951
7070000,6240,4,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished,1986
7035000,6360,4,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished,1940
7000000,11175,3,1.0,1.0,yes,no,yes,no,yes,1.0,yes,furnished,1954
6930000,8880,3,2.0,2.0,yes,no,yes,no,yes,1.0,no,furnished,1993
6930000,13200,2,1.0,1.0,yes,no,yes,yes,no,1.0,no,furnished,1952
6895000,7700,3,2.0,1.0,yes,no,no,no,no,2.0,no,unfurnished,1982
6860000,6000,3,1.0,1.0,yes,no,no,no,yes,1.0,no,furnished,2015
6790000,12090,4,2.0,2.0,yes,no,no,no,no,2.0,yes,furnished,2008
6790000,4000,3,2.0,2.0,yes,no,yes,no,yes,0.0,yes,semi-furnished,1946
6755000,6000,4,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,2008
6720000,5020,3,1.0,4.0,yes,no,no,no,yes,0.0,yes,unfurnished,1987
6685000,6600,2,2.0,4.0,yes,no,yes,no,no,0.0,yes,furnished,1943
6650000,4040,3,1.0,2.0,yes,no,yes,yes,no,1.0,no,furnished,2016
6650000,4260,4,2.0,2.0,yes,no,no,yes,no,0.0,no,semi-furnished,1992
6650000,6420,3,2.0,3.0,yes,no,no,no,yes,0.0,yes,furnished,2018
6650000,6500,3,2.0,3.0,yes,no,no,no,yes,0.0,yes,furnished,1955
6650000,5700,3,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished           ,1960
6650000,6000,3,2.0,3.0,yes,yes,no,no,yes,0.0,no,furnished,1998
6629000,6000,3,1.0,2.0,yes,no,no,yes,no,1.0,yes,semi-furnished,1963
6615000,4000,3,2.0,2.0,yes,no,yes,no,yes,1.0,no,semi-furnished,2019
6615000,10500,3,2.0,1.0,yes,no,yes,no,yes,1.0,yes,furnished,1953
6580000,6000,3,2.0,4.0,yes,no,no,no,yes,0.0,no,semi-furnished,1988
6510000,3760,3,1.0,2.0,yes,no,no,yes,no,2.0,no,semi-furnished,1989
6510000,8250,3,2.0,3.0,yes,no,no,no,yes,0.0,no,furnished,2009
6510000,6670,3,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished,1981
6475000,3960,3,1.0,1.0,yes,no,yes,no,no,2.0,no,semi-furnished        ,1975
6475000,7410,3,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,2004
6440000,8580,5,3.0,2.0,yes,no,no,no,no,2.0,no,furnished,2009
6440000,5000,3,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,1940
6419000,6750,2,1.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished,1990
6405000,4800,3,2.0,4.0,yes,yes,no,no,yes,0.0,no,furnished,1976
6300000,7200,3,2.0,1.0,yes,no,yes,no,yes,3.0,no,semi-furnished,1974
6300000,6000,4,2.0,4.0,yes,no,no,no,no,1.0,no,semi-furnished,1988
6300000,4100,3,2.0,3.0,yes,no,no,no,yes,2.0,no,semi-furnished,1943
6300000,9000,3,1.0,1.0,yes,no,yes,no,no,1.0,yes,furnished,1982
6300000,6400,3,1.0,1.0,yes,yes,yes,no,yes,1.0,yes,semi-furnished,2017
6293000,6600,3,2.0,3.0,yes,no,no,no,yes,0.0,yes,unfurnished,1961
6265000,6000,4,1.0,3.0,yes,yes,yes,no,no,0.0,yes,unfurnished,2013
6230000,6600,3,2.0,1.0,yes,no,yes,no,yes,0.0,yes,unfurnished,1940
6230000,5500,3,1.0,3.0,yes,no,no,no,no,1.0,yes,unfurnished,1950
6195000,5500,3,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished,1983
6195000,6350,3,2.0,3.0,yes,yes,no,no,yes,0.0,no,furnished,1998
6195000,5500,3,2.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished,1963
6160000,4500,3,1.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,1999
6160000,5450,4,2.0,1.0,yes,no,yes,no,yes,0.0,yes,semi-furnished,1942
6125000,6420,3,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished,2002
6107500,3240,4,1.0,3.0,yes,no,no,no,no,1.0,no,semi-furnished       ,1975
6090000,6615,4,2.0,2.0,yes,yes,no,yes,no,1.0,no,semi-furnished,2007
6090000,6600,3,1.0,1.0,yes,yes,yes,no,no,2.0,yes,semi-furnished,1986
6090000,8372,3,1.0,3.0,yes,no,no,no,yes,2.0,no,unfurnished,1960
6083000,4300,6,2.0,2.0,yes,no,no,no,no,0.0,no,furnished,1990
6083000,9620,3,1.0,1.0,yes,no,yes,no,no,2.0,yes,furnished,1967
6020000,6800,2,1.0,1.0,yes,yes,yes,no,no,2.0,no,furnished,1954
6020000,8000,3,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,semi-furnished,1981
6020000,6900,3,2.0,1.0,yes,yes,yes,no,no,0.0,yes,unfurnished,1998
5950000,3700,4,1.0,2.0,yes,yes,no,no,yes,0.0,no,furnished,2005
5950000,6420,3,1.0,1.0,yes,no,yes,no,yes,0.0,yes,furnished,1976
5950000,7020,3,1.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished,1950
5950000,6540,3,1.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished,1983
5950000,7231,3,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,1951
5950000,6254,4,20.0,1.0,yes,no,yes,no,no,1.0,yes,semi-furnished,1942
5950000,7320,4,2.0,2.0,yes,no,no,no,no,0.0,no,furnished,1991
5950000,6525,3,2.0,4.0,yes,no,no,no,no,1.0,no,furnished,2020
5943000,15600,3,1.0,,yes,no,no,no,yes,2.0,no,semi-furnished,1972
5880000,7160,3,1.0,1.0,yes,no,yes,no,no,2.0,yes,unfurnished,1994
5880000,6500,3,2.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished,1940
5873000,5500,3,1.0,3.0,yes,yes,no,no,yes,1.0,no,furnished,1978
5873000,11460,3,1.0,3.0,yes,no,no,no,no,2.0,yes,semi-furnished,1959
5866000,4800,3,1.0,1.0,yes,yes,yes,no,no,0.0,no,unfurnished,1986
5810000,5828,4,1.0,4.0,yes,yes,no,no,no,0.0,no,semi-furnished,1982
5810000,5200,3,,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,1996
5810000,4800,3,1.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished,2000
5803000,7000,3,1.0,1.0,yes,no,yes,no,no,2.0,yes,semi-furnished,2017
5775000,6000,3,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,1970
5740000,5400,4,2.0,2.0,yes,no,no,no,yes,2.0,no,unfurnished,1964
5740000,4640,4,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished,1942
5740000,5000,3,1.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,1943
5740000,6360,3,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished,1953
5740000,5800,3,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,1980
5652500,6660,4,2.0,2.0,yes,yes,yes,no,no,1.0,yes,semi-furnished,2012
5600000,10500,4,2.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished,1959
5600000,4800,5,2.0,3.0,no,no,yes,yes,no,0.0,no,unfurnished,2012
5600000,4700,4,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,1966
5600000,5000,3,1.0,4.0,yes,no,no,no,no,0.0,no,furnished,2006
5600000,10500,2,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,1992
5600000,5500,3,2.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished,2007
5600000,6360,3,1.0,3.0,yes,,no,no,no,0.0,yes,semi-furnished,2001
5600000,6600,4,2.0,1.0,yes,no,yes,no,no,0.0,yes,semi-furnished,1954
5600000,5136,3,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,unfurnished,1944
5565000,4400,4,1.0,2.0,yes,no,no,no,yes,2.0,yes,semi-furnished,2007
5565000,5400,5,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,furnished,1951
5530000,3300,3,3.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,2017
5530000,3650,3,24.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,2015
5530000,6100,3,2.0,1.0,yes,no,yes,no,no,2.0,yes,furnished,1996
5523000,6900,3,1.0,1.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,1956
5495000,2817,4,2.0,2.0,no,yes,yes,no,no,1.0,no,furnished,1964
5495000,7980,3,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,1969
5460000,3150,3,2.0,1.0,yes,yes,yes,no,yes,0.0,no,furnished,1961
5460000,6210,4,1.0,4.0,yes,yes,no,no,yes,0.0,no,furnished,1965
5460000,6100,3,1.0,3.0,yes,yes,no,no,yes,0.0,yes,semi-furnished,2020
5460000,6600,4,2.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,2000
5425000,6825,3,1.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,2001
5390000,6710,3,2.0,2.0,yes,yes,yes,no,no,1.0,yes,furnished,1973
5383000,6450,3,2.0,1.0,yes,yes,yes,yes,no,0.0,no,unfurnished,1972
5320000,7800,3,1.0,1.0,yes,no,,no,yes,2.0,yes,unfurnished,2010
5285000,4600,2,2.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,1971
5250000,4260,4,1.0,2.0,yes,no,,no,yes,0.0,no,furnished,1953
5250000,6540,4,2.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished,2011
5250000,5500,3,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished,1996
5250000,10269,3,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished,1964
5250000,8400,3,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,2019
5250000,5300,4,2.0,1.0,yes,no,no,no,yes,0.0,yes,unfurnished,1981
5250000,3800,3,1.0,2.0,yes,yes,yes,no,no,1.0,yes,unfurnished,1958
5250000,9800,4,2.0,2.0,yes,yes,no,no,no,2.0,no,semi-furnished,1980
5250000,8520,3,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished,1994
5243000,6050,3,1.0,1.0,yes,no,yes,no,no,0.0,yes,semi-furnished,2019
5229000,7085,3,1.0,1.0,yes,yes,yes,no,no,2.0,yes,semi-furnished,1951
5215000,3180,3,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,1978
5215000,4500,4,2.0,1.0,no,no,yes,no,yes,2.0,no,semi-furnished,1941
5215000,7200,3,1.0,2.0,yes,yes,yes,no,,1.0,yes,furnished,1984
5145000,3410,3,1.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished,1964
5145000,7980,3,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished,2007
5110000,3000,3,2.0,2.0,yes,yes,yes,no,no,0.0,no,furnished,1943
5110000,3000,3,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished,2016
5110000,11410,2,1.0,2.0,yes,no,no,no,no,0.0,yes,furnished,1975
5110000,6100,3,1.0,1.0,yes,no,yes,no,yes,0.0,yes,semi-furnished,2001
5075000,5720,2,1.0,2.0,yes,no,no,no,yes,0.0,yes,unfurnished,2009
5040000,3540,2,1.0,1.0,no,yes,yes,no,no,0.0,no,semi-furnished,1983
5040000,7600,4,1.0,2.0,yes,no,no,no,yes,2.0,no,furnished,1972
5040000,10700,3,1.0,2.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1951
5040000,6600,3,1.0,1.0,yes,yes,yes,no,no,0.0,yes,furnished,1950
5033000,4800,2,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1994
5005000,8150,3,2.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1977
4970000,4410,4,3.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,1968
4970000,7686,3,1.0,1.0,yes,yes,yes,yes,no,0.0,no,semi-furnished,1942
4956000,2800,3,2.0,2.0,no,no,yes,no,yes,1.0,no,semi-furnished,1967
4935000,5948,3,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,1963
4907000,4200,3,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,1993
4900000,4520,3,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished,1991
4900000,4095,3,1.0,2.0,no,yes,yes,no,yes,0.0,no,semi-furnished,1986
4900000,4120,2,1.0,1.0,yes,no,yes,no,no,1.0,no,semi-furnished,1960
4900000,5400,4,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,1993
4900000,4770,3,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1969
4900000,6300,3,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,2007
4900000,5800,2,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished,1975
4900000,3000,3,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished,1979
4900000,2970,3,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,1949
4900000,6720,3,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,2013
4900000,4646,3,1.0,2.0,yes,yes,yes,no,no,2.0,no,semi-furnished,1981
4900000,12900,3,1.0,1.0,yes,no,no,no,no,2.0,no,furnished,1963
4893000,3420,4,2.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished,1943
4893000,4995,4,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished,1986
4865000,4350,2,1.0,1.0,yes,no,yes,no,no,0.0,no,unfurnished,1990
4830000,4160,3,1.0,3.0,yes,no,no,no,no,0.0,no,unfurnished,1943
4830000,6040,3,1.0,1.0,yes,no,no,no,no,2.0,yes,semi-furnished,1971
4830000,6862,3,1.0,2.0,yes,no,no,no,yes,2.0,yes,furnished,1949
4830000,4815,2,1.0,1.0,yes,no,no,no,yes,0.0,yes,semi-furnished,1950
4795000,7000,3,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished       ,1967
4795000,8100,4,1.0,4.0,yes,no,yes,no,yes,2.0,no,semi-furnished,1985
4767000,3420,4,2.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,2011
4760000,9166,2,17.0,1.0,yes,no,yes,no,yes,2.0,no,semi-furnished,1979
4760000,6321,3,1.0,2.0,yes,no,yes,no,yes,1.0,no,furnished,2001
4760000,10240,2,1.0,1.0,yes,no,no,no,yes,2.0,yes,unfurnished,1984
4753000,6440,2,1.0,1.0,yes,no,no,no,yes,3.0,no,semi-furnished,1974
4690000,5170,3,1.0,4.0,yes,no,no,no,yes,0.0,no,semi-furnished,1974
4690000,6000,2,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished,1973
4690000,3630,3,1.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,1945
4690000,9667,4,2.0,2.0,yes,yes,yes,no,no,1.0,no,semi-furnished,1976
4690000,5400,2,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,1940
4690000,4320,3,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished,2015
4655000,3745,3,1.0,2.0,yes,no,yes,no,no,0.0,no,furnished       ,1974
4620000,4160,3,1.0,1.0,yes,yes,yes,no,yes,0.0,no,unfurnished,2009
4620000,3880,3,2.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,1993
4620000,5680,3,1.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished,2020
4620000,2870,2,1.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,2002
4620000,5010,3,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,1948
4613000,4510,4,2.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished       ,2001
4585000,4000,3,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,1941
4585000,3840,3,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished,1975
4550000,3760,3,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,1980
4550000,3640,3,1.0,2.0,yes,no,no,no,yes,0.0,no,furnished,1976
4550000,2550,3,1.0,2.0,yes,no,yes,no,no,0.0,no,furnished,1988
4550000,5320,3,1.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,1965
4550000,5360,3,1.0,2.0,yes,no,no,no,no,2.0,yes,unfurnished,2007
4550000,3520,3,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished      ,1975
4550000,8400,4,1.0,4.0,yes,no,no,no,no,3.0,no,unfurnished,1970
4543000,4100000,2,2.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1969
4543000,4990,4,2.0,2.0,yes,yes,yes,no,no,0.0,yes,furnished,1973
4515000,3510,3,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,1958
4515000,3450,3,1.0,2.0,yes,no,yes,no,no,1.0,no,semi-furnished,1957
4515000,9860,3,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,1942
4515000,3520,2,1.0,2.0,yes,no,no,no,no,0.0,yes,furnished,2009
4480000,4510,4,1.0,2.0,yes,no,no,no,yes,2.0,no,semi-furnished,1952
4480000,5885,2,1.0,1.0,yes,no,no,no,yes,1.0,no,unfurnished,1984
4480000,4000,3,1.0,2.0,yes,no,no,no,no,2.0,no,furnished,2006
4480000,8250,3,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,1979
4480000,4040,3,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished,1979
4473000,6360,2,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished,2015
4473000,3162,3,1.0,2.0,yes,no,no,no,yes,1.0,no,furnished,1962
4473000,3510,3,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,1970
4445000,3750,2,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,1957
4410000,3968,3,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,2010
4410000,4900,2,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,2011
4403000,2880,3,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,1958
4403000,4880,3,1.0,1.0,yes,no,no,no,no,2.0,yes,unfurnished,1983
4403000,4920,3,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished,1989
4382000,4950,4,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,1981
4375000,3900,3,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,1986
4340000,4500,3,2.0,3.0,yes,no,no,yes,no,1.0,no,furnished,1961
4340000,1905,5,1.0,2.0,no,no,yes,no,no,0.0,no,semi-furnished,2013
